MunicipalCodeFIPS,Metro,RegionName,StateCodeFIPS,c_id
1,,Accomack,51,1
1,,Adams,55,2
1,,Addison,50,3
1,,Aitkin,27,4
1,,Alcona,26,5
1,,Apache,4,6
1,,Baker,41,7
1,Albany,Albany,36,8
1,Albuquerque,Bernalillo,35,9
1,Atlantic City,Atlantic,34,10
1,Boise City,Ada,16,11
1,Burlington,Alamance,37,12
1,Cape Cod,Barnstable,25,13
1,Cumberland,Allegany,24,14
1,Denver,Adams,8,15
1,Gainesville,Alachua,12,16
1,Gettysburg,Adams,42,17
1,Hilo,Hawaii,15,18
1,Knoxville,Anderson,47,19
1,Laconia,Belknap,33,20
1,Lafayette,Acadia,22,21
1,Laramie,Albany,56,22
1,Lewiston,Androscoggin,23,23
1,Montgomery,Autauga,1,24
1,Othello,Adams,53,25
1,Providence,Bristol,44,26
1,Quincy,Adams,17,27
1,San Francisco,Alameda,6,28
1,Stamford,Fairfield,9,29
1,Washington,District of Columbia,11,30
3,,Alamosa,8,31
3,,Allegany,36,32
3,,Aroostook,23,33
3,,Carroll,33,34
3,Augusta,Aiken,45,35
3,Baltimore,Anne Arundel,24,36
3,Bennington,Bennington,50,37
3,Charlottesville,Albemarle,51,38
3,Corvallis,Benton,41,39
3,Daphne,Baldwin,1,40
3,Fort Wayne,Allen,18,41
3,Hagerstown,Berkeley,54,42
3,Hartford,Hartford,9,43
3,Hickory,Alexander,37,44
3,Jacksonville,Baker,12,45
3,Las Vegas,Clark,32,46
3,Lima,Allen,39,47
3,Minneapolis-St Paul,Anoka,27,48
3,New York,Bergen,34,49
3,Ogden,Box Elder,49,50
3,Philadelphia,New Castle,10,51
3,Pittsburgh,Allegheny,42,52
3,Pittsfield,Berkshire,25,53
3,Providence,Kent,44,54
3,Sierra Vista,Cochise,4,55
3,Urban Honolulu,Honolulu,15,56
5,,Alleghany,51,57
5,,Amador,6,58
5,,Barron,55,59
5,,Becker,27,60
5,,Benton,47,61
5,,Caledonia,50,62
5,Baltimore,Baltimore,24,63
5,Baton Rouge,Ascension,22,64
5,Columbus,Bartholomew,18,65
5,Denver,Arapahoe,8,66
5,Flagstaff,Coconino,4,67
5,Frankfort,Anderson,21,68
5,Gardnerville Ranchos,Douglas,32,69
5,Holland,Allegan,26,70
5,Keene,Cheshire,33,71
5,Kennewick,Benton,53,72
5,Logan,Cache,49,73
5,Mountain Home,Baxter,5,74
5,New York,Bronx,36,75
5,Panama City,Bay,12,76
5,Philadelphia,Burlington,34,77
5,Pittsburgh,Armstrong,42,78
5,Pocatello,Bannock,16,79
5,Portland,Clackamas,41,80
5,Portland,Cumberland,23,81
5,Providence,Bristol,25,82
5,Providence,Newport,44,83
5,Roswell,Chaves,35,84
5,Salisbury,Sussex,10,85
5,St. Louis,Bond,17,86
5,Torrington,Litchfield,9,87
7,,Anson,37,88
7,,Archuleta,8,89
7,,Bledsoe,47,90
7,,Bradford,12,91
7,,Franklin,23,92
7,Alpena,Alpena,26,93
7,Ashtabula,Ashtabula,39,94
7,Astoria,Clatsop,41,95
7,Bemidji,Beltrami,27,96
7,Berlin,Coos,33,97
7,Binghamton,Broome,36,98
7,Burlington,Chittenden,50,99
7,Chico,Butte,6,100
7,Elko,Elko,32,101
7,Fayetteville,Benton,5,102
7,Greenville,Anderson,45,103
7,Hartford,Middlesex,9,104
7,Kapaa,Kauai,15,105
7,Payson,Gila,4,106
7,Philadelphia,Camden,34,107
7,Pittsburgh,Beaver,42,108
7,Price,Carbon,49,109
7,Providence,Providence,44,110
7,Rockford,Boone,17,111
7,Vineyard Haven,Dukes,25,112
7,Wenatchee,Chelan,53,113
9,,Antrim,26,114
9,,Ashe,37,115
9,,Barry,29,116
9,,Bedford,42,117
9,,Calaveras,6,118
9,,Hancock,23,119
9,Athens,Athens,39,120
9,Birmingham,Blount,1,121
9,Boston,Essex,25,122
9,Claremont,Grafton,33,123
9,Elk City,Beckham,40,124
9,Glasgow,Barren,21,125
9,Green Bay,Brown,55,126
9,Harrison,Boone,5,127
9,Kahului,Maui,15,128
9,Knoxville,Blount,47,129
9,Lynchburg,Amherst,51,130
9,Melbourne,Brevard,12,131
9,Milledgeville,Baldwin,13,132
9,New Haven,New Haven,9,133
9,Ocean City,Cape May,34,134
9,Olean,Cattaraugus,36,135
9,Port Angeles,Clallam,53,136
9,Portland,Columbia,41,137
9,Providence,Washington,44,138
9,Safford,Graham,4,139
9,St. Cloud,Benton,27,140
9,Washington,Calvert,24,141
11,,Banks,13,142
11,,Bowman,38,143
11,,Caroline,24,144
11,,Colusa,6,145
11,Auburn,Cayuga,36,146
11,Augusta,Kennebec,23,147
11,Blackfoot,Bingham,16,148
11,Burlington,Franklin,50,149
11,Cedar Rapids,Benton,19,150
11,Cleveland,Bradley,47,151
11,Coos Bay,Coos,41,152
11,De Ridder,Beauregard,22,153
11,Greenfield Town,Franklin,25,154
11,Huntington,Cabell,54,155
11,Indianapolis,Boone,18,156
11,Manchester,Hillsborough,33,157
11,Miami-Fort Lauderdale,Broward,12,158
11,New London,New London,9,159
11,Ogden,Davis,49,160
11,Ottawa,Bureau,17,161
11,Portland,Clark,53,162
11,Reading,Berks,42,163
11,Vineland,Cumberland,34,164
11,Wapakoneta,Auglaize,39,165
12,,La Paz,4,166
13,,Burnett,55,167
13,,Knox,23,168
13,Altoona,Blair,42,169
13,Atlanta,Barrow,13,170
13,Baltimore,Carroll,24,171
13,Boulder,Boulder,8,172
13,Concord,Merrimack,33,173
13,Durant,Bryan,40,174
13,Great Falls,Cascade,30,175
13,Hailey,Blaine,16,176
13,Hartford,Tolland,9,177
13,Hilton Head Island,Beaufort,45,178
13,Indianapolis,Brown,18,179
13,Jamestown,Chautauqua,36,180
13,Knoxville,Campbell,47,181
13,Las Cruces,Dona Ana,35,182
13,Mankato,Blue Earth,27,183
13,New York,Essex,34,184
13,Phoenix,Maricopa,4,185
13,Prineville,Crook,41,186
13,Riverton,Fremont,56,187
13,San Francisco,Contra Costa,6,188
13,Springfield,Hampden,25,189
13,Washington,Arlington,51,190
13,Waterloo,Black Hawk,19,191
13,Wheeling,Belmont,39,192
13,Winnemucca,Humboldt,32,193
14,Denver,Broomfield,8,194
15,,Caddo,40,195
15,,Carroll,5,196
15,,Carroll,17,197
15,,Chaffee,8,198
15,,Lamoille,50,199
15,,Lincoln,23,200
15,Appleton,Calumet,55,201
15,Atlanta,Bartow,13,202
15,Bismarck,Burleigh,38,203
15,Boise City,Boise,16,204
15,Boone,Boone,19,205
15,Boston,Rockingham,33,206
15,Brookings,Curry,41,207
15,Charleston,Berkeley,45,208
15,Cincinnati,Boone,21,209
15,Cincinnati,Brown,39,210
15,Elmira,Chemung,36,211
15,Grand Rapids,Barry,26,212
15,Houston,Austin,48,213
15,Lafayette-West Lafayette,Carroll,18,214
15,Lake Havasu City,Mohave,4,215
15,Nashville,Cannon,47,216
15,Philadelphia,Cecil,24,217
15,Philadelphia,Gloucester,34,218
15,Punta Gorda,Charlotte,12,219
15,Shreveport,Bossier,22,220
15,Springfield,Hampshire,25,221
15,Staunton,Augusta,51,222
15,Wichita,Butler,20,223
15,Worcester,Windham,9,224
17,,Carroll,47,225
17,,Chenango,36,226
17,Bay City,Bay,26,227
17,Bend,Deschutes,41,228
17,Boston,Middlesex,25,229
17,Boston,Strafford,33,230
17,Cincinnati,Butler,39,231
17,Duluth,Carlton,27,232
17,Fargo,Cass,38,233
17,Homosassa Springs,Citrus,12,234
17,Lexington,Bourbon,21,235
17,New York,Hudson,34,236
17,Oklahoma City,Canadian,40,237
17,Philadelphia,Bucks,42,238
17,Sacramento,El Dorado,6,239
17,Sandpoint,Bonner,16,240
17,Show Low,Navajo,4,241
17,Shreveport,Caddo,22,242
17,Valley,Chambers,1,243
17,Washington,Charles,24,244
17,Wenatchee,Douglas,53,245
19,,Buchanan,19,246
19,,Cavalier,38,247
19,,Cherokee,1,248
19,,Nantucket,25,249
19,Ardmore,Carter,40,250
19,Bangor,Penobscot,23,251
19,Cambridge,Dorchester,24,252
19,Canton,Carroll,39,253
19,Champaign-Urbana,Champaign,17,254
19,Charleston,Charleston,45,255
19,Claremont,Sullivan,33,256
19,Columbia,Boone,29,257
19,Denver,Clear Creek,8,258
19,Fernley,Lyon,32,259
19,Fresno,Fresno,6,260
19,Huntington,Boyd,21,261
19,Idaho Falls,Bonneville,16,262
19,Jacksonville,Clay,12,263
19,Johnson City,Carter,47,264
19,Kearney,Buffalo,31,265
19,Lake Charles,Calcasieu,22,266
19,Louisville/Jefferson County,Clark,18,267
19,Lynchburg,Bedford,51,268
19,Minneapolis-St Paul,Carver,27,269
19,Myrtle Beach,Brunswick,37,270
19,New York,Hunterdon,34,271
19,Pittsburgh,Butler,42,272
19,Plattsburgh,Clinton,36,273
19,Roseburg,Douglas,41,274
19,San Antonio,Bandera,48,275
19,Traverse City,Benzie,26,276
19,Tucson,Pima,4,277
20,Anchorage,Anchorage,2,278
21,Asheville,Buncombe,37,279
21,Austin,Bastrop,48,280
21,Birmingham,Chilton,1,281
21,Boston,Norfolk,25,282
21,Cedar City,Iron,49,283
21,Cheyenne,Laramie,56,284
21,Danville,Boyle,21,285
21,Hudson,Columbia,36,286
21,Kennewick,Franklin,53,287
21,Macon,Bibb,13,288
21,Madison,Columbia,55,289
21,Naples,Collier,12,290
21,Nashville,Cheatham,47,291
21,Niles,Berrien,26,292
21,Phoenix,Pinal,4,293
21,Rutland,Rutland,50,294
21,St. Joseph,Buchanan,29,295
21,Storm Lake,Buena Vista,19,296
21,Tahlequah,Cherokee,40,297
21,Taylorville,Christian,17,298
21,Trenton,Mercer,34,299
21,Urbana,Champaign,39,300
21,Washington,Frederick,24,301
23,,Chippewa,27,302
23,,Clark,17,303
23,,Cleburne,5,304
23,,Garrett,24,305
23,Barre,Washington,50,306
23,Boston,Plymouth,25,307
23,Coldwater,Branch,26,308
23,Cortland,Cortland,36,309
23,Eureka,Humboldt,6,310
23,Jackson,Chester,47,311
23,Lake City,Columbia,12,312
23,New York,Middlesex,34,313
23,Nogales,Santa Cruz,4,314
23,Pahrump,Nye,32,315
23,Poplar Bluff,Butler,29,316
23,Portland,Sagadahoc,23,317
23,Roanoke,Botetourt,51,318
23,Springfield,Clark,39,319
25,,Delaware,36,320
25,,Somerset,23,321
25,,Windham,50,322
25,Allentown,Carbon,42,323
25,Baltimore,Harford,24,324
25,Battle Creek,Calhoun,26,325
25,Boston,Suffolk,25,326
25,Casper,Natrona,56,327
25,Charlotte,Cabarrus,37,328
25,Cincinnati,Clermont,39,329
25,El Centro,Imperial,6,330
25,Madison,Dane,55,331
25,Minneapolis-St Paul,Chisago,27,332
25,Moses Lake,Grant,53,333
25,New York,Monmouth,34,334
25,Omaha,Cass,31,335
25,Prescott,Yavapai,4,336
27,,Clarendon,45,337
27,,Inyo,6,338
27,,Niobrara,56,339
27,,Waldo,23,340
27,Aberdeen,Grays Harbor,53,341
27,Arcadia,De Soto,12,342
27,Baltimore,Howard,24,343
27,Beaver Dam,Dodge,55,344
27,Boise City,Canyon,16,345
27,Claremont,Windsor,50,346
27,Fargo,Clay,27,347
27,Hickory,Caldwell,37,348
27,Hood River,Hood River,41,349
27,Jefferson City,Callaway,29,350
27,Killeen,Bell,48,351
27,New York,Dutchess,36,352
27,New York,Morris,34,353
27,Oklahoma City,Cleveland,40,354
27,South Bend,Cass,26,355
27,State College,Centre,42,356
27,Valdosta,Brooks,13,357
27,Washington,Daviess,18,358
27,Worcester,Worcester,25,359
27,Yuma,Yuma,4,360
28,Los Alamos,Los Alamos,35,361
29,,Camden,29,362
29,,Charlevoix,26,363
29,,Delta,8,364
29,,Dixie,12,365
29,,Kent,24,366
29,Bakersfield,Kern,6,367
29,Buffalo,Erie,36,368
29,Charleston,Coles,17,369
29,Cincinnati,Dearborn,18,370
29,Kalispell,Flathead,30,371
29,Medford,Jackson,41,372
29,Newport,Cocke,47,373
29,New York,Ocean,34,374
29,Oak Harbor,Island,53,375
29,Philadelphia,Chester,42,376
29,Reno,Storey,32,377
29,Salem,Columbiana,39,378
29,San Antonio,Bexar,48,379
29,Savannah,Bryan,13,380
29,Weirton,Hancock,54,381
31,,Cheboygan,26,382
31,,Essex,36,383
31,,Jefferson,41,384
31,,Jefferson,53,385
31,Bozeman,Gallatin,30,386
31,Burley,Cassia,16,387
31,Cape Girardeau,Cape Girardeau,29,388
31,Chicago,Cook,17,389
31,Coshocton,Coshocton,39,390
31,Denver,Denver,8,391
31,Duluth,Douglas,55,392
31,Enterprise,Coffee,1,393
31,Florence,Darlington,45,394
31,Jacksonville,Duval,12,395
31,Jonesboro,Craighead,5,396
31,Lawton,Comanche,40,397
31,Lynchburg,Campbell,51,398
31,Morehead City,Carteret,37,399
31,New York,Passaic,34,400
31,Portland,York,23,401
31,Reno,Washoe,32,402
31,Statesboro,Bulloch,13,403
31,Tullahoma,Coffee,47,404
31,Washington,Montgomery,24,405
33,,Caswell,37,406
33,Auburn,De Kalb,18,407
33,Augusta,Burke,13,408
33,Baton Rouge,East Baton Rouge,22,409
33,Bucyrus,Crawford,39,410
33,Clarksburg,Harrison,54,411
33,DuBois,Clearfield,42,412
33,Florence,Colbert,1,413
33,Fort Smith,Crawford,5,414
33,Grants Pass,Josephine,41,415
33,Jackson,Crockett,47,416
33,Malone,Franklin,36,417
33,Mason City,Cerro Gordo,19,418
33,Memphis,DeSoto,28,419
33,Menomonie,Dunn,55,420
33,Pensacola,Escambia,12,421
33,Philadelphia,Salem,34,422
33,Richmond,Caroline,51,423
33,Seattle,King,53,424
33,Washington,Prince Georges,24,425
35,,Craig,40,426
35,Arkansas City-Winfield,Cowley,20,427
35,Atlanta,Butts,13,428
35,Baltimore,Queen Annes,24,429
35,Brainerd,Crow Wing,27,430
35,Bremerton,Kitsap,53,431
35,Charleston,Dorchester,45,432
35,Cleveland,Cuyahoga,39,433
35,Crossville,Cumberland,47,434
35,Daytona Beach,Flagler,12,435
35,Denver,Douglas,8,436
35,Eau Claire,Eau Claire,55,437
35,Gloversville,Fulton,36,438
35,Grand Forks,Grand Forks,38,439
35,Hattiesburg,Forrest,28,440
35,Hickory,Catawba,37,441
35,Klamath Falls,Klamath,41,442
35,Lock Haven,Clinton,42,443
35,Memphis,Crittenden,5,444
35,Muncie,Delaware,18,445
35,Murray,Calloway,21,446
35,New York,Somerset,34,447
35,Salt Lake City,Salt Lake,49,448
37,,Franklin,12,449
37,Augusta,Edgefield,45,450
37,Batavia,Genesee,36,451
37,Bloomsburg,Columbia,42,452
37,California-Lexington Park,Saint Marys,24,453
37,Chicago,DeKalb,17,454
37,Cincinnati,Campbell,21,455
37,Durham,Chatham,37,456
37,Edwards,Eagle,8,457
37,Ellensburg,Kittitas,53,458
37,Jasper,Dubois,18,459
37,Kansas City,Cass,29,460
37,Lansing,Clinton,26,461
37,Los Angeles-Long Beach-Anaheim,Los Angeles,6,462
37,Minneapolis-St Paul,Dakota,27,463
37,Nashville,Davidson,47,464
37,New York,Sussex,34,465
37,Pittsburg,Crawford,20,466
37,Texarkana,Bowie,48,467
37,Tulsa,Creek,40,468
37,Washington,Jefferson,54,469
39,,Cherokee,37,470
39,,Crawford,26,471
39,,Decatur,47,472
39,,Greene,36,473
39,Bloomington,Dewitt,17,474
39,Charleston,Kanawha,54,475
39,Columbia,Fairfield,45,476
39,Defiance,Defiance,39,477
39,Denver,Elbert,8,478
39,Elkhart,Elkhart,18,479
39,Eugene,Lane,41,480
39,Fond du Lac,Fond du Lac,55,481
39,Houston,Brazoria,48,482
39,Madera,Madera,6,483
39,Meadville,Crawford,42,484
39,Mountain Home,Elmore,16,485
39,New York,Union,34,486
39,Rochester,Dodge,27,487
39,Salisbury,Somerset,24,488
39,St. Marys,Camden,13,489
39,Tallahassee,Gadsden,12,490
39,Weatherford,Custer,40,491
41,,Dekalb,47,492
41,,Delaware,40,493
41,,Dickinson,20,494
41,,Sevier,49,495
41,Alexandria,Douglas,27,496
41,Allentown,Warren,34,497
41,Centralia,Lewis,53,498
41,College Station,Brazos,48,499
41,Colorado Springs,El Paso,8,500
41,Connersville,Fayette,18,501
41,Easton,Talbot,24,502
41,Escanaba,Delta,26,503
41,Evanston,Uinta,56,504
41,Florence,Florence,45,505
41,Gainesville,Gilchrist,12,506
41,Harrisburg,Cumberland,42,507
41,Logan,Franklin,16,508
41,Newport,Lincoln,41,509
41,Richmond,Chesterfield,51,510
41,San Francisco,Marin,6,511
41,Spencer,Clay,19,512
43,,Carter,21,513
43,,Clay,37,514
43,,Clayton,19,515
43,,Glades,12,516
43,,Mariposa,6,517
43,Albany,Linn,41,518
43,Albuquerque,Sandoval,35,519
43,Chicago,Du Page,17,520
43,Cullman,Cullman,1,521
43,Georgetown,Georgetown,45,522
43,Hagerstown,Washington,24,523
43,Harrisburg,Dauphin,42,524
43,Louisville/Jefferson County,Floyd,18,525
43,Nashville,Dickson,47,526
43,Rexburg,Fremont,16,527
43,Sandusky,Erie,39,528
43,Sioux City,Dakota,31,529
43,Springfield,Christian,29,530
43,Summit Park,Summit,49,531
43,Utica,Herkimer,36,532
43,Washington,Clarke,51,533
45,Atlanta,Carroll,13,534
45,Boise City,Gem,16,535
45,Clinton,Clinton,19,536
45,Columbus,Fairfield,39,537
45,Dyersburg,Dyer,47,538
45,Farmington,San Juan,35,539
45,Glenwood Springs,Garfield,8,540
45,Greenville,Greenville,45,541
45,Lansing,Eaton,26,542
45,Lawrence,Douglas,20,543
45,Little Rock,Faulkner,5,544
45,Madison,Green,55,545
45,Ontario,Malheur,41,546
45,Panama City,Gulf,12,547
45,Philadelphia,Delaware,42,548
45,Rochester,Fillmore,27,549
45,Salisbury,Wicomico,24,550
45,Salt Lake City,Tooele,49,551
45,Shelby,Cleveland,37,552
45,Shelton,Mason,53,553
45,Ukiah,Mendocino,6,554
45,Watertown,Jefferson,36,555
47,,Columbus,37,556
47,,Elk,42,557
47,,Emmet,26,558
47,,Franklin,5,559
47,,Green Lake,55,560
