newvars,oldvars,age,income
age_less_25_income_less_10k,B19037_003E,25 less,10k less
age_less_25_income_10k_to_15k,B19037_004E,25 less,income 10k to 15k
age_less_25_income_15k_to_20k,B19037_005E,25 less,income 15k to 20k
age_less_25_income_20k_to_25k,B19037_006E,25 less,income 20k to 25k
age_less_25_income_25k_to_30k,B19037_007E,25 less,income 25k to 30k
age_less_25_income_30k_to_35k,B19037_008E,25 less,income 30k to 35k
age_less_25_income_35k_to_40k,B19037_009E,25 less,income 35k to 40k
age_less_25_income_40k_to_45k,B19037_010E,25 less,income 40k to 45k
age_less_25_income_45k_to_50k,B19037_011E,25 less,income 45k to 50k
age_less_25_income_50k_to_60k,B19037_012E,25 less,income 50k to 60k
age_less_25_income_60k_to_75k,B19037_013E,25 less,income 60k to 75k
age_less_25_income_75k_to_100k,B19037_014E,25 less,income 75k to 100k
age_less_25_income_100k_to_125k,B19037_015E,25 less,income 100k to 125k
age_less_25_income_125k_to_150k,B19037_016E,25 less,income 125k to 150k
age_less_25_income_150k_to_200k,B19037_017E,25 less,income 150k to 200k
age_less_25_income_200k_plus,B19037_018E,25 less,income 200k plus
age_25_to_44_income_less_10k,B19037_020E,25 to 44,10k less
age_25_to_44_income_10k_to_15k,B19037_021E,25 to 45,income 10k to 15k
age_25_to_44_income_15k_to_20k,B19037_022E,25 to 46,income 15k to 20k
age_25_to_44_income_20k_to_25k,B19037_023E,25 to 47,income 20k to 25k
age_25_to_44_income_25k_to_30k,B19037_024E,25 to 48,income 25k to 30k
age_25_to_44_income_30k_to_35k,B19037_025E,25 to 49,income 30k to 35k
age_25_to_44_income_35k_to_40k,B19037_026E,25 to 50,income 35k to 40k
age_25_to_44_income_40k_to_45k,B19037_027E,25 to 51,income 40k to 45k
age_25_to_44_income_45k_to_50k,B19037_028E,25 to 52,income 45k to 50k
age_25_to_44_income_50k_to_60k,B19037_029E,25 to 53,income 50k to 60k
age_25_to_44_income_60k_to_75k,B19037_030E,25 to 54,income 60k to 75k
age_25_to_44_income_75k_to_100k,B19037_031E,25 to 55,income 75k to 100k
age_25_to_44_income_100k_to_125k,B19037_032E,25 to 56,income 100k to 125k
age_25_to_44_income_125k_to_150k,B19037_033E,25 to 57,income 125k to 150k
age_25_to_44_income_150k_to_200k,B19037_034E,25 to 58,income 150k to 200k
age_25_to_44_income_200k_plus,B19037_035E,25 to 59,income 200k plus
age_45_to_64_income_less_10k,B19037_037E,45 to 64,10k less
age_45_to_64_income_10k_to_15k,B19037_038E,45 to 64,income 10k to 15k
age_45_to_64_income_15k_to_20k,B19037_039E,45 to 64,income 15k to 20k
age_45_to_64_income_20k_to_25k,B19037_040E,45 to 64,income 20k to 25k
age_45_to_64_income_25k_to_30k,B19037_041E,45 to 64,income 25k to 30k
age_45_to_64_income_30k_to_35k,B19037_042E,45 to 64,income 30k to 35k
age_45_to_64_income_35k_to_40k,B19037_043E,45 to 64,income 35k to 40k
age_45_to_64_income_40k_to_45k,B19037_044E,45 to 64,income 40k to 45k
age_45_to_64_income_45k_to_50k,B19037_045E,45 to 64,income 45k to 50k
age_45_to_64_income_50k_to_60k,B19037_046E,45 to 64,income 50k to 60k
age_45_to_64_income_60k_to_75k,B19037_047E,45 to 64,income 60k to 75k
age_45_to_64_income_75k_to_100k,B19037_048E,45 to 64,income 75k to 100k
age_45_to_64_income_100k_to_125k,B19037_049E,45 to 64,income 100k to 125k
age_45_to_64_income_125k_to_150k,B19037_050E,45 to 64,income 125k to 150k
age_45_to_64_income_150k_to_200k,B19037_051E,45 to 64,income 150k to 200k
age_45_to_64_income_200k_plus,B19037_052E,45 to 64,income 200k plus
age_65_plus_income_less_10k,B19037_054E,65 plus,10k less
age_65_plus_income_10k_to_15k,B19037_055E,65 plus,income 10k to 15k
age_65_plus_income_15k_to_20k,B19037_056E,65 plus,income 15k to 20k
age_65_plus_income_20k_to_25k,B19037_057E,65 plus,income 20k to 25k
age_65_plus_income_25k_to_30k,B19037_058E,65 plus,income 25k to 30k
age_65_plus_income_30k_to_35k,B19037_059E,65 plus,income 30k to 35k
age_65_plus_income_35k_to_40k,B19037_060E,65 plus,income 35k to 40k
age_65_plus_income_40k_to_45k,B19037_061E,65 plus,income 40k to 45k
age_65_plus_income_45k_to_50k,B19037_062E,65 plus,income 45k to 50k
age_65_plus_income_50k_to_60k,B19037_063E,65 plus,income 50k to 60k
age_65_plus_income_60k_to_75k,B19037_064E,65 plus,income 60k to 75k
age_65_plus_income_75k_to_100k,B19037_065E,65 plus,income 75k to 100k
age_65_plus_income_100k_to_125k,B19037_066E,65 plus,income 100k to 125k
age_65_plus_income_125k_to_150k,B19037_067E,65 plus,income 125k to 150k
age_65_plus_income_150k_to_200k,B19037_068E,65 plus,income 150k to 200k
age_65_plus_income_200k_plus,B19037_069E,65 plus,income 200k plus