newvars,oldvars,ownership_type,year_built
tenure_by_year_built_hh_owner_2014_plus,B25036_003E,owner,2014 plus
tenure_by_year_built_hh_owner_2010_to_2013,B25036_004E,owner,2010 to 2013
tenure_by_year_built_hh_owner_2000_to_2009,B25036_005E,owner,2000 to 2009
tenure_by_year_built_hh_owner_1990_to_1999,B25036_006E,owner,1990 to 1999
tenure_by_year_built_hh_owner_1980_to_1989,B25036_007E,owner,1980 to 1989
tenure_by_year_built_hh_owner_1970_to_1979,B25036_008E,owner,1970 to 1979
tenure_by_year_built_hh_owner_1960_to_1969,B25036_009E,owner,1960 to 1969
tenure_by_year_built_hh_owner_1950_to_1959,B25036_010E,owner,1950 to 1959
tenure_by_year_built_hh_owner_1940_to_1949,B25036_011E,owner,1940 to 1949
tenure_by_year_built_hh_owner_1939_less,B25036_012E,owner,1939 less
tenure_by_year_built_hh_renter_2014_plus,B25036_014E,renter,2014 plus
tenure_by_year_built_hh_renter_2010_to_2013,B25036_015E,renter,2010 to 2013
tenure_by_year_built_hh_renter_2000_to_2009,B25036_016E,renter,2000 to 2009
tenure_by_year_built_hh_renter_1990_to_1999,B25036_017E,renter,1990 to 1999
tenure_by_year_built_hh_renter_1980_to_1989,B25036_018E,renter,1980 to 1989
tenure_by_year_built_hh_renter_1970_to_1979,B25036_019E,renter,1970 to 1979
tenure_by_year_built_hh_renter_1960_to_1969,B25036_020E,renter,1960 to 1969
tenure_by_year_built_hh_renter_1950_to_1959,B25036_021E,renter,1950 to 1959